Generation,Reward,Novelty
2,800,2.553756797
2,500,2.3668287578
2,700,2.2886263727
2,900,2.5030233853
2,400,0
3,400,0
3,400,0
3,400,0
3,400,2.2959695665
3,700,1.9565896403
3,500,2.1192329126
3,500,2.0863348838
3,600,2.6732786855
3,3800,2.9312225475
3,700,2.5111217615
3,900,3.4765286409
3,1000,2.7383840173
3,800,2.291477296
3,4000,2.9751014768
3,500,0.6695884544
3,500,2.330828151
3,3900,2.410062407
3,800,2.8683694012
3,500,1.9774241028
3,500,2.5286198318
3,900,2.6369994024
3,4000,2.5291711969
3,4700,3.2660853343
3,3800,5.2818748106
3,400,2.599924647
3,500,2.136243264
3,4000,3.2051538845
3,700,2.3999142247
3,400,0
3,400,2.0461201906
3,300,0.9697859712
3,600,2.1579505027
3,500,0.5369680396
3,800,2.5551562723
3,300,2.5800060769
3,400,2.5312139142
3,400,2.4671414005
3,800,2.6411919221
3,500,2.7249917477
3,700,2.3199055528
3,600,1.882482365
3,800,3.0149177051
3,4700,3.292389937
3,3900,2.7803356351
3,600,2.0737560779
3,700,3.023941362
3,600,2.2718553384
3,400,0
3,3900,2.3928857612
3,700,5.784670727
3,1000,2.7427544632
3,400,0
3,900,3.2698511446
3,400,0
3,900,2.663342479
3,500,2.3879081716
3,500,2.0205856923
3,800,2.1245199703
3,400,2.3046473585
3,600,1.804476159
3,800,2.9642658902
3,600,2.292594702
3,400,2.1159500995
3,600,3.2804924558
3,300,0.898991873
3,400,0
3,600,2.283913474
3,500,0.6695884544
3,900,3.043696087
3,400,2.2429454049
3,400,0
3,600,2.0495862164
3,700,1.9445161422
3,3900,3.1484728238
3,700,2.7350602501
3,400,3.3048743663
3,600,1.9757811293
3,300,0.9697859712
3,500,0.5369680396
3,400,2.1169029478
3,300,0.9697859712
3,500,2.0122099769
3,300,0.7697859712
3,400,0
3,3900,2.5605154149
3,1300,2.8416743263
3,400,2.7851542216
3,600,0.6284064241
3,800,2.7148276447
3,500,2.371882166
3,500,0.5369680396
3,600,1.8854335789
3,500,3.0963349517
3,300,0.9697859712
3,900,2.3393905587
3,300,0.7697859712
3,4100,2.3311331668
3,400,2.1147489188
3,4000,8.7078884977
3,300,0.898991873
4,500,0.1177336892
4,500,0.1177336892
4,400,1.7463066107
4,500,1.89083298
4,4200,2.5484920795
4,400,0
4,4000,2.6540837574
4,3900,2.5726645334
4,4100,3.2297092702
4,500,0.1177336892
4,500,2.026895625
4,400,1.9877634063
4,400,1.8911693028
4,400,2.0034178271
4,700,2.464625233
4,500,1.8435430589
4,500,1.9917940274
4,400,2.136074609
4,500,2.1443690673
4,300,0.4
4,3900,3.0721026609
4,1000,2.671803824
4,500,2.3988875616
4,700,2.0811798217
4,500,1.8538131999
4,500,1.7623202715
4,4000,2.6114675145
4,4200,2.5728469103
4,400,2.3396365375
4,600,2.6978168162
4,600,1.9708561004
4,600,1.945175217
4,900,2.2432671443
4,800,2.676364321
4,3900,2.5723403548
4,500,2.455708277
4,500,2.2302131362
4,3900,2.4910529846
4,300,0.4
4,400,1.9235956402
4,3800,3.1958869545
4,300,0.4
4,900,2.691909348
4,400,1.9287853679
4,500,2.0371589775
4,500,2.2571814549
4,3900,2.4393448761
4,1100,2.6633020764
4,500,0.4
4,400,2.2949261158
